q,n_patterns,dim,temperature,alpha,schedule,R,update_method,learning_rule,avg_overlap,std_overlap,interference,energy_diff,model
0.75,4,"(np.int64(6), np.int64(6))",,,,,synchronous,turkey,0.8611111111111112,0.24056261216234406,0.11111111111111112,2.5108596250571544,<HopfieldModel.HopfieldModelnD object at 0x7f452b92d130>
0.75,4,"(np.int64(7), np.int64(7))",,,,,synchronous,turkey,1.0,0.0,0.16326530612244897,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f45680560f0>
0.75,4,"(np.int64(8), np.int64(8))",,,,,synchronous,turkey,1.0,0.0,0.11979166666666667,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f452b92dd00>
0.75,4,"(np.int64(9), np.int64(9))",,,,,synchronous,turkey,1.0,0.0,0.14403292181069957,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f452b92d2e0>
0.75,4,"(np.int64(10), np.int64(10))",,,,,synchronous,turkey,1.0,0.0,0.05666666666666667,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f452b92d010>
0.75,4,"(np.int64(11), np.int64(11))",,,,,synchronous,turkey,1.0,0.0,0.07162534435261708,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f452b92dac0>
0.75,4,"(np.int64(12), np.int64(12))",,,,,synchronous,turkey,1.0,0.0,0.0787037037037037,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f452b92d880>
0.75,4,"(np.int64(13), np.int64(13))",,,,,synchronous,turkey,1.0,0.0,0.08678500986193295,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f452b92db50>
0.75,4,"(np.int64(14), np.int64(14))",,,,,synchronous,turkey,1.0,0.0,0.07312925170068027,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f452b92cef0>
0.75,4,"(np.int64(15), np.int64(15))",,,,,synchronous,turkey,1.0,0.0,0.04888888888888889,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f452b92d1c0>
0.75,4,"(np.int64(16), np.int64(16))",,,,,synchronous,turkey,1.0,0.0,0.0390625,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f452b92cdd0>
0.75,4,"(np.int64(17), np.int64(17))",,,,,synchronous,turkey,1.0,0.0,0.049596309111880045,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f452b92cc20>
0.75,4,"(np.int64(18), np.int64(18))",,,,,synchronous,turkey,1.0,0.0,0.06172839506172839,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f452b92d640>
0.75,4,"(np.int64(19), np.int64(19))",,,,,synchronous,turkey,1.0,0.0,0.07386888273314866,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f452b92cf80>
0.75,4,"(np.int64(20), np.int64(20))",,,,,synchronous,turkey,1.0,0.0,0.03666666666666667,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f452b92c560>
