q,n_patterns,dim,temperature,alpha,schedule,R,update_method,learning_rule,avg_overlap,std_overlap,interference,energy_diff,model
0.6,10,"(28, 28)",1.0,0.01,exponential,3,asynchronous,local,0.7293367346938775,0.09586169895712837,0.6093537414965984,2.188775510204067,<HopfieldModel.HopfieldModelnD object at 0x7f8e38ec6b10>
0.6,10,"(28, 28)",1.0,0.01,exponential,3,asynchronous,turkey,0.7122448979591837,0.12884951300354022,0.6093537414965984,-24.49190113940469,<HopfieldModel.HopfieldModelnD object at 0x7f8decb8b800>
0.6,10,"(28, 28)",1.0,0.01,exponential,4,montecarlo,hebb,0.7346938775510203,0.0618589574131742,0.6093537414965984,-500.5918367346926,<HopfieldModel.HopfieldModelnD object at 0x7f8decb8bda0>
0.6,10,"(28, 28)",1.0,0.01,exponential,4,montecarlo,local,0.10204081632653061,0.10117618375026502,0.6093537414965984,97.90306122448979,<HopfieldModel.HopfieldModelnD object at 0x7f8e3873c560>
0.6,10,"(28, 28)",1.0,0.01,exponential,4,montecarlo,turkey,0.08010204081632655,0.6130587702741712,0.6093537414965984,-17.515974298132875,<HopfieldModel.HopfieldModelnD object at 0x7f8e3873c170>
0.6,10,"(28, 28)",1.0,0.01,exponential,4,synchronous,hebb,0.7397959183673469,0.0728538557538932,0.6093537414965984,-504.1530612244883,<HopfieldModel.HopfieldModelnD object at 0x7f8decb8ba40>
0.6,10,"(28, 28)",1.0,0.01,exponential,4,synchronous,local,0.7188775510204082,0.09315102631009445,0.6093537414965984,-12.000000000000028,<HopfieldModel.HopfieldModelnD object at 0x7f8decb8bb60>
0.6,10,"(28, 28)",1.0,0.01,exponential,4,synchronous,turkey,0.7122448979591837,0.1292126462658309,0.6093537414965984,-24.49190113940469,<HopfieldModel.HopfieldModelnD object at 0x7f8decb8bad0>
0.6,10,"(28, 28)",1.0,0.01,exponential,4,asynchronous,hebb,0.7377551020408164,0.0716632442383159,0.6093537414965984,-504.1530612244883,<HopfieldModel.HopfieldModelnD object at 0x7f8decb8bbf0>
0.6,10,"(28, 28)",1.0,0.01,exponential,4,asynchronous,local,0.7229591836734695,0.07515948612684992,0.6093537414965984,-4.127551020408163,<HopfieldModel.HopfieldModelnD object at 0x7f8decb8bc80>
0.6,10,"(28, 28)",1.0,0.01,exponential,4,asynchronous,turkey,0.6857142857142857,0.13348834353315395,0.6093537414965984,-24.49190113940469,<HopfieldModel.HopfieldModelnD object at 0x7f8decb8bd10>
0.6,10,"(28, 28)",1.0,0.01,classic,1,montecarlo,hebb,0.7306122448979592,0.06524032080361757,0.6093537414965984,-499.62244897959044,<HopfieldModel.HopfieldModelnD object at 0x7f8e3873c830>
