q,n_patterns,dim,temperature,alpha,schedule,R,update_method,learning_rule,avg_overlap,std_overlap,interference,energy_diff,model
0.6,10,"(28, 28)",1.0,0.01,exponential,6,asynchronous,local,0.7334183673469388,0.12061903232050153,0.6093537414965984,-28.60714285714286,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d63c0>
0.6,10,"(28, 28)",1.0,0.01,exponential,6,asynchronous,turkey,0.7125,0.1290576831053197,0.6093537414965984,-24.49190113940469,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d6c30>
0.6,10,"(28, 28)",1.0,0.01,exponential,7,montecarlo,hebb,0.727295918367347,0.06965220091314403,0.6093537414965984,-499.55102040816246,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d75c0>
0.6,10,"(28, 28)",1.0,0.01,exponential,7,montecarlo,local,0.38826530612244897,0.43016558467339183,0.6093537414965984,-13.494897959183618,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d7b60>
0.6,10,"(28, 28)",1.0,0.01,exponential,7,montecarlo,turkey,0.376530612244898,0.4934338219995105,0.6093537414965984,-11.485964339554698,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d7a40>
0.6,10,"(28, 28)",1.0,0.01,exponential,7,synchronous,hebb,0.7403061224489795,0.07570816576839642,0.6093537414965984,-504.1530612244883,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d6d50>
0.6,10,"(28, 28)",1.0,0.01,exponential,7,synchronous,local,0.6928571428571428,0.11585228247040567,0.6093537414965984,-40.12244897959181,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d6f00>
0.6,10,"(28, 28)",1.0,0.01,exponential,7,synchronous,turkey,0.7091836734693878,0.12711660717654075,0.6093537414965984,-24.49190113940469,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d6e70>
0.6,10,"(28, 28)",1.0,0.01,exponential,7,asynchronous,hebb,0.7375,0.07483191285256917,0.6093537414965984,-471.2142857142858,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d7020>
0.6,10,"(28, 28)",1.0,0.01,exponential,7,asynchronous,local,0.758673469387755,0.09219177402928756,0.6093537414965984,-40.12244897959181,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d6f90>
0.6,10,"(28, 28)",1.0,0.01,exponential,7,asynchronous,turkey,0.6872448979591836,0.12807646872435086,0.6093537414965984,-59.68590994693224,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d70b0>
0.6,10,"(28, 28)",1.0,0.01,classic,4,montecarlo,hebb,0.7275510204081633,0.06456450722728939,0.6093537414965984,-500.28571428571286,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d7bf0>
0.6,10,"(28, 28)",1.0,0.01,classic,4,montecarlo,local,-0.013010204081632648,0.06930564244082711,0.6093537414965984,109.59183673469387,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d7650>
0.6,10,"(28, 28)",1.0,0.01,classic,4,montecarlo,turkey,-0.059183673469387764,0.4866285234824631,0.6093537414965984,113.9125658859225,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d7770>
