q,n_patterns,dim,temperature,alpha,schedule,R,update_method,learning_rule,avg_overlap,std_overlap,interference,energy_diff
0.75,10,"(28, 28)",0.002033515562271441,1e-07,logarithmic,4,montecarlo,local,0.8255102040816327,0.048592753850553776,0.6093537414965984,-11.98979591836735
0.75,10,"(28, 28)",0.002033515562271441,1.7782794100389227e-07,exponential,4,montecarlo,local,0.825765306122449,0.06669881782342221,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.002033515562271441,1.7782794100389227e-07,classic,4,montecarlo,local,0.8364795918367347,0.06210516684842848,0.6093537414965984,-11.98979591836735
0.75,10,"(28, 28)",0.002033515562271441,1.7782794100389227e-07,logarithmic,4,montecarlo,local,0.8318877551020408,0.05008647769421815,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.002033515562271441,3.162277660168379e-07,exponential,4,montecarlo,local,0.8354591836734693,0.04487548718700134,0.6093537414965984,-11.775510204081655
0.75,10,"(28, 28)",0.002033515562271441,3.162277660168379e-07,classic,4,montecarlo,local,0.8033163265306124,0.060727682452705496,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.002033515562271441,3.162277660168379e-07,logarithmic,4,montecarlo,local,0.824234693877551,0.0535768947648586,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.002033515562271441,5.62341325190349e-07,exponential,4,montecarlo,local,0.8331632653061225,0.050626026760840506,0.6093537414965984,-11.617346938775512
0.75,10,"(28, 28)",0.002033515562271441,5.62341325190349e-07,classic,4,montecarlo,local,0.8362244897959183,0.05019485148268292,0.6093537414965984,-10.33673469387756
0.75,10,"(28, 28)",0.002033515562271441,5.62341325190349e-07,logarithmic,4,montecarlo,local,0.8497448979591837,0.05128058661032173,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.002033515562271441,1e-06,exponential,4,montecarlo,local,0.8344387755102041,0.058188434403888864,0.6093537414965984,-11.142857142857139
0.75,10,"(28, 28)",0.002033515562271441,1e-06,classic,4,montecarlo,local,0.823469387755102,0.07370462623447176,0.6093537414965984,-11.061224489795904
0.75,10,"(28, 28)",0.002033515562271441,1e-06,logarithmic,4,montecarlo,local,0.8346938775510205,0.056674005861960045,0.6093537414965984,-11.209183673469369
0.75,10,"(28, 28)",0.002033515562271441,1.778279410038923e-06,exponential,4,montecarlo,local,0.8301020408163264,0.05921665161426164,0.6093537414965984,-11.071428571428584
0.75,10,"(28, 28)",0.002033515562271441,1.778279410038923e-06,classic,4,montecarlo,local,0.8255102040816327,0.058319696547688,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.002033515562271441,1.778279410038923e-06,logarithmic,4,montecarlo,local,0.8334183673469389,0.055493343215120575,0.6093537414965984,-11.209183673469369
0.75,10,"(28, 28)",0.002033515562271441,3.162277660168379e-06,exponential,4,montecarlo,local,0.838265306122449,0.06445757720115015,0.6093537414965984,-11.326530612244909
0.75,10,"(28, 28)",0.002033515562271441,3.162277660168379e-06,classic,4,montecarlo,local,0.8086734693877549,0.06469741830264228,0.6093537414965984,-11.98979591836735
