q,n_patterns,dim,temperature,alpha,schedule,R,update_method,learning_rule,avg_overlap,std_overlap,interference,energy_diff,model
0.75,10,"(10, 10)",0.001,1.038308989999652,classic,,montecarlo,turkey,0.8300000000000001,0.3281767816284388,0.06933333333333337,7.332220953143278,<HopfieldModel.HopfieldModelnD object at 0x7f2e0ba1af90>
0.75,10,"(10, 10)",0.001,1.038308989999652,logarithmic,,montecarlo,turkey,0.8300000000000001,0.3281767816284388,0.06933333333333337,7.332220953143278,<HopfieldModel.HopfieldModelnD object at 0x7f2e0ba1b0b0>
0.75,10,"(10, 10)",0.001,1.043199640132525,exponential,,montecarlo,turkey,0.8300000000000001,0.3281767816284388,0.06933333333333337,7.332220953143278,<HopfieldModel.HopfieldModelnD object at 0x7f2e0ba1b020>
0.75,10,"(10, 10)",0.001,1.043199640132525,classic,,montecarlo,turkey,0.8300000000000001,0.3281767816284388,0.06933333333333337,7.332220953143278,<HopfieldModel.HopfieldModelnD object at 0x7f2e0ba1b1d0>
0.75,10,"(10, 10)",0.001,1.043199640132525,logarithmic,,montecarlo,turkey,0.8300000000000001,0.3281767816284388,0.06933333333333337,7.332220953143278,<HopfieldModel.HopfieldModelnD object at 0x7f2e0ba1b140>
0.75,10,"(10, 10)",0.001,1.0481133262392288,exponential,,montecarlo,turkey,0.836,0.3386797897719909,0.09466666666666668,-5.524840304358413,<HopfieldModel.HopfieldModelnD object at 0x7f2e0ba1b2f0>
0.75,10,"(10, 10)",0.001,1.0481133262392288,classic,,montecarlo,turkey,0.836,0.3386797897719909,0.09466666666666668,-5.524840304358413,<HopfieldModel.HopfieldModelnD object at 0x7f2e0ba1b260>
0.75,10,"(10, 10)",0.001,1.0481133262392288,logarithmic,,montecarlo,turkey,0.836,0.3386797897719909,0.09466666666666668,-5.524840304358413,<HopfieldModel.HopfieldModelnD object at 0x7f2e0ba1b380>
0.75,10,"(10, 10)",0.001,1.0530501568239656,exponential,,montecarlo,turkey,0.836,0.3386797897719909,0.09466666666666668,-5.524840304358413,<HopfieldModel.HopfieldModelnD object at 0x7f2e0ba1b410>
0.75,10,"(10, 10)",0.001,1.0530501568239656,classic,,montecarlo,turkey,0.836,0.3386797897719909,0.09466666666666668,-5.524840304358413,<HopfieldModel.HopfieldModelnD object at 0x7f2e0ba1b530>
0.75,10,"(10, 10)",0.001,1.0530501568239656,logarithmic,,montecarlo,turkey,0.836,0.3386797897719909,0.09466666666666668,-5.524840304358413,<HopfieldModel.HopfieldModelnD object at 0x7f2e0ba1b650>
0.75,10,"(10, 10)",0.001,1.0580102409020151,exponential,,montecarlo,turkey,0.836,0.3386797897719909,0.09466666666666668,-5.524840304358413,<HopfieldModel.HopfieldModelnD object at 0x7f2e0ba1b4a0>
0.75,10,"(10, 10)",0.001,1.0580102409020151,classic,,montecarlo,turkey,0.836,0.3386797897719909,0.09466666666666668,-5.524840304358413,<HopfieldModel.HopfieldModelnD object at 0x7f2e0ba1b5c0>
